Title,NSE NAME
Cerebra Integrated Technologies Ltd.,"NSE: CEREBRAINT
                        
                        
                            |
                            BSE: 532413"
D-Link (India) Ltd.,"NSE: DLINKINDIA
                        
                        
                            |
                            BSE: 533146"
HCL Infosystems Ltd.,"NSE: HCL-INSYS
                        
                        
                            |
                            BSE: 500179
                        
                        
                        

                        
    |

GSM"
Nelco Ltd.,"NSE: NELCO
                        
                        
                            |
                            BSE: 504112"
Smartlink Holdings Ltd.,"NSE: SMARTLINK
                        
                        
                            |
                            BSE: 532419"
Computer Point Ltd.,"BSE: 507833
                        
                        
                        

                        
    |

GSM"
Vama Industries Ltd.,BSE: 512175
PCS Technology Ltd.,BSE: 517119
BCC Fuba India Ltd.,BSE: 517246
Vintron Informatics Ltd.,"BSE: 517393
                        
                        
                        

                        
    |

GSM"
VXL Instruments Ltd.,"BSE: 517399
                        
                        
                        

                        
    |

GSM"
Kkrrafton Developers Ltd.,BSE: 521238
Control Print Ltd.,"NSE: CONTROLPR
                        
                        
                            |
                            BSE: 522295"
WEP Solutions Ltd.,BSE: 532373
VCU Data Management Ltd.,"BSE: 536672
                        
                        
                        

                        
    |

GSM"
Danube Industries Ltd.,BSE: 540361
Panache Digilife Ltd.,NSE: PANACHE
DC Infotech and Communication Ltd.,"NSE: DCI
                        
                        
                            |
                            BSE: 543636"
Shradha AI Technologies Ltd.,"BSE: 543976
                        
                        
                        

                        

    |

ASM"
Newjaisa Technologies Ltd.,NSE: NEWJAISA
Brisk Technovision Ltd.,BSE: 544101
Slone Infosystems Ltd.,NSE: SLONE
Aztec Fluids & Machinery Ltd.,BSE: 544177
